index,Missing_Value_Percentage,DataType
ORIGIN,0.0,string
ORIGIN_CITY_MARKET_ID,0.0,int
OP_CARRIER_AIRLINE_ID,0.0,int
OP_CARRIER,0.0,string
DEST_STATE_NM,0.0,string
OP_CARRIER_FL_NUM,0.0,int
DEST_STATE_FIPS,0.0,int
MONTH,0.0,int
DEST_WAC,0.0,int
CRS_DEP_TIME,0.0,int
origin_iata_code,0.0,string
origin_region,0.0,string
origin_station_name,0.0,string
origin_type,0.0,string
origin_station_dis,0.0,double
origin_airport_lon,0.0,double
origin_airport_lat,0.0,double
origin_station_lon,0.0,double
origin_station_lat,0.0,double
origin_station_id,0.0,string
DISTANCE_GROUP,0.0,int
DISTANCE,0.0,double
FLIGHTS,0.0,double
DIVERTED,0.0,double
CANCELLED,0.0,double
ARR_TIME_BLK,0.0,string
CRS_ARR_TIME,0.0,int
DEP_TIME_BLK,0.0,string
DEP_DELAY_GROUP,0.0,int
DEP_DEL15,0.0,double
DEP_DELAY_NEW,0.0,double
DEP_DELAY,0.0,double
DEP_TIME,0.0,int
QUARTER,0.0,int
